Title,Number of Reviews,Rating,Bought Last Month,Price After Discount,MRP,Image URL,Product ID,5 Star Percentage,4 Star Percentage,3 Star Percentage,2 Star Percentage,1 Star Percentage,Bought Last Month (Numeric)
"Jio Bluetooth Game Controller Set-Top Box, Android TV & Phone, Long Battery upto 8 hrs, Matte Finish, Minimal Lag, Ergonomic Design, Pressure Triggers, Dual Haptic Motor, Ultralight | JGC100",67,3.9,300+ bought in past month,1499.0,4499.0,https://m.media-amazon.com/images/I/51-2aMuQBmL._AC_UY218_.jpg,55,55%,14%,11%,7%,13%,300
"Xbox Wireless Controller, Robot White",92,4.4,,5290.0,5990.0,https://m.media-amazon.com/images/I/51ilQN1AEnL._AC_UY218_.jpg,56,77%,9%,6%,1%,7%,0
"PowerA Battle Dragon™ Advanced Wireless Controller for PC & Cloud Gaming: Magnetic Hall Effect, Asymmetric Rumble Motors, 30h Playtime (Not for iOS)",22975,3.8,,3899.0,6799.0,https://m.media-amazon.com/images/I/71MzVnBdbgL._AC_UY218_.jpg,57,55%,16%,8%,4%,17%,0
"GameSir Cyclone 2 Wireless Controller for PC/Switch/Android/iOS, 1000Hz Polling Rate, TMR Joysticks, Hall/Micro 2-in-1 Triggers，PC Gaming Controller with Charging Dock (Black)",1,5.0,,5949.0,594900.0,https://m.media-amazon.com/images/I/5193+FaPk2L._AC_UY218_.jpg,58,100%,0%,0%,0%,0%,0
"Cosmic Byte Quantum Gamepad Dual Model Bluetooth+ Wired for PS4, PC, iOS, Android, Nintendo Switch, Hall Effect Triggers and Joystick, Touchpad, Speaker, 1000mAH Battery (Transparent Black)",98,3.9,200+ bought in past month,2799.0,5999.0,https://m.media-amazon.com/images/I/61qhzKDHQgL._AC_UY218_.jpg,59,58%,16%,5%,6%,15%,200
"EvoFox Deck Smartphone Gamepad with iPhone/Android, XBOX, HID & Keymap mode for Android | Bluetooth v5.0 | Dual Vibration motors | Magnetic Hall 3D Joysticks | RGB Lighting and Backlit Controls",415,4.0,200+ bought in past month,2799.0,4299.0,https://m.media-amazon.com/images/I/61frvUsCIyL._AC_UY218_.jpg,60,60%,16%,6%,4%,14%,200
"Ant Esports GP365 Pro Wireless Controller with Hall Effect Magnetic Triggers for PC/PS3/Android, 2.4G Connectivity (Black/Grey)",43,3.0,50+ bought in past month,1349.0,2999.0,https://m.media-amazon.com/images/I/71JXya0allL._AC_UY218_.jpg,61,35%,12%,11%,5%,37%,50
"GAMENOPHOBIA Wireless Controller for PS3, professional usb Wireless Gamepad compatible with PlayStation3 PS3 [video game]",53,3.8,100+ bought in past month,860.0,1499.0,https://m.media-amazon.com/images/I/41rFFp+L5yL._AC_UY218_.jpg,62,56%,16%,3%,4%,21%,100
"Ninjadog Astra One Ultra - Hall effect Mobile Game Controller for PC/Mac/Linux/Unix, Android, iOS, Nintendo Switch",43,4.2,,3099.0,6499.0,https://m.media-amazon.com/images/I/61BjCQ5k3pL._AC_UY218_.jpg,63,59%,22%,7%,0%,12%,0
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Sonic Style, Blue (Officially Licensed)",3609,4.2,,2999.0,299900.0,https://m.media-amazon.com/images/I/71tjAmw9NCL._AC_UY218_.jpg,64,61%,20%,6%,3%,10%,0
"Ant Esports Gp400 Rgb Wireless Controller For Pc / Ps4 / Ps3 / Switch/Android/Ios With Double Shock, Six- Axis Sensor, Turbo Function, Upto 12 Hrs. Play Time, 1000Mah Battery Black",186,3.8,50+ bought in past month,2199.0,4999.0,https://m.media-amazon.com/images/I/71bGKcbVHML._AC_UY218_.jpg,65,50%,22%,6%,4%,18%,50
GameSir Nova Lite Gaming Controller Wireless Bluetooth Wireless Connection Controller PC/Steam/Switch/iOS/Android Gamepad Anti-Drift Hall Effect Joystick Turbo Controller(White),201,4.3,50+ bought in past month,2804.0,3299.0,https://m.media-amazon.com/images/I/51w6iWgkgTL._AC_UY218_.jpg,66,66%,17%,6%,4%,7%,50
"Me2u Compatible With Ps-4 Controller Compatible With Ps4/Pro/Slim/Android/Pc/Iso, Wireless Controller With Built-In Speaker And Stereo Headset Jack 2.5Mm Auto Fire Turbo Button (White)",5,2.7,50+ bought in past month,1299.0,2999.0,https://m.media-amazon.com/images/I/41nzpX0pksL._AC_UY218_.jpg,67,43%,0%,0%,0%,57%,50
Sony PlayStation®5 - DualSense™ Wireless Controller Cosmic Red,188,4.5,,6940.0,7990.0,https://m.media-amazon.com/images/I/51INZYWwvdL._AC_UY218_.jpg,68,80%,9%,2%,2%,7%,0
"Logitech G F310 Wired Gamepad, Controller Console Like Layout, 4 Switch D-Pad, 1.8-Meter Cord, PC/Steam/Windows/AndroidTV - Grey/Blue",21780,4.3,50+ bought in past month,2099.0,2695.0,https://m.media-amazon.com/images/I/71uoG-y-bEL._AC_UY218_.jpg,69,61%,22%,8%,2%,7%,50
"ZEBRONICS MAX LINK + Wireless Gamepad, Dual motors Haptic feedback, Built-in rechargeable battery, RGB light, Plug & play, Supports (Windows | Android | PS3 | PS4 | XBOX 360)",1198,4.1,100+ bought in past month,1999.0,3999.0,https://m.media-amazon.com/images/I/71wGFura4kL._AC_UY218_.jpg,70,59%,20%,5%,3%,13%,100
"PowerA Wireless Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Fortnite SE, Hall Effect Thumbsticks & Triggers, Low Latency Wireless, with Bonus Virtual Item (Officially Licensed)",167,4.3,,6799.0,13999.0,https://m.media-amazon.com/images/I/818xvlbMu4L._AC_UY218_.jpg,71,69%,14%,5%,1%,11%,0
CLAW Shoot Wired USB Gamepad Controller for PC supports Windows XP/7/8/10 with Rubberized Textured Grip and Dual Vibration Motors,4231,3.9,100+ bought in past month,990.0,1490.0,https://m.media-amazon.com/images/I/71yMQTptEnL._AC_UY218_.jpg,72,50%,22%,11%,4%,13%,100
"PowerA FUSION Pro 3 Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Midnight Shadow, Black (Officially Licensed)",1634,4.0,,4999.0,499900.0,https://m.media-amazon.com/images/I/71n0jKWMIsL._AC_UY218_.jpg,73,60%,15%,8%,4%,13%,0
"ZORBES PS5 Controller Cover Case, Silicone Cover for PS5 Game Controller, Protective Cover for Dual Sense Controller with 2 Thumb Grip Caps & Touchpad Sticker, White Blue",153,4.4,50+ bought in past month,898.0,1349.0,https://m.media-amazon.com/images/I/61AwtevNCHL._AC_UY218_.jpg,74,67%,24%,4%,1%,4%,50
"One94Store Rechargeable Silicone Panda Night Light for Kids | 7-Color LED Changing Lamp |Adorable Room Decor & Gift for Toddlers, Teens, & Valentine's Day Present|Soft BPA-Free Nightlight| Multicolour",0,4.1,,399.0,1999.0,,75,60%,20%,5%,3%,12%,0
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Blue)",1075,4.1,300+ bought in past month,1799.0,2499.0,https://m.media-amazon.com/images/I/61jBlflAQML._AC_UY218_.jpg,76,61%,18%,6%,4%,11%,300
Khushi Decor GreyTheme 3M Skin Sticker Cover for PS4 Console and 2 Controller Decal Cover+ 4 Led bar Decal Sticker (Pack of 1),2,3.5,,446.0,999.0,https://m.media-amazon.com/images/I/71YVLyLasIL._AC_UY218_.jpg,77,51%,0%,0%,49%,0%,0
"ZEBRONICS MAX LINK PRO, Wireless Controller, Hall Effect, 6 Axis Gyro, Analog Triggers, Touch Pad, Dual Motor Haptics, Macro Buttons, Rechargeable Battery, Supports PS4, PS3, Windows, Android, iOS",1198,4.1,,2499.0,4199.0,https://m.media-amazon.com/images/I/71oLBLa2ebL._AC_UY218_.jpg,78,59%,20%,5%,3%,13%,0
"GameSir Cyclone 2 Wireless Controller for Switch, PC, Steam, Android, iOS, PC Controller with Mag-Res™ TMR Sticks, Hall Effect Triggers, RGB Lightning, 6-Axis Gyro, Turbo (Black)",6,5.0,,5099.0,5999.0,https://m.media-amazon.com/images/I/51IafkPsBpL._AC_UY218_.jpg,79,100%,0%,0%,0%,0%,0
"XBOX Wireless Controller – Carbon Black Series X|S, One, and Windows Devices",18,4.5,,4900.0,490000.0,https://m.media-amazon.com/images/I/61yAgp4VoTL._AC_UY218_.jpg,80,75%,18%,0%,0%,7%,0
Xbox Core Wireless Controller – Carbon Black,27651,4.5,50+ bought in past month,5290.0,5990.0,https://m.media-amazon.com/images/I/61YNiiJizXL._AC_UY218_.jpg,81,78%,12%,3%,2%,5%,50
"Ant Esports GP320 Wireless Gamepad/Android/Windows PC/IOS/Switch / PS4 / PS3, Bluetooth Game Pad/Vibration Motors/Turbo Function – Black White",752,3.7,100+ bought in past month,1349.0,3399.0,https://m.media-amazon.com/images/I/81G1x9hj8pL._AC_UY218_.jpg,82,45%,22%,12%,6%,15%,100
Sony Dualsense Edge Wireless Controller (Playstation 5),171,4.2,,15990.0,18990.0,https://m.media-amazon.com/images/I/51qcJKGmDXL._AC_UY218_.jpg,83,66%,13%,8%,2%,11%,0
"EvoFox Deck Smartphone Gamepad with iPhone/Android, XBOX, HID & Keymap modes | Bluetooth v5.0 | Dual Vibration motors | Magnetic Hall 3D Joysticks | RGB Lighting and Backlit Controls",415,4.0,200+ bought in past month,2799.0,3999.0,https://m.media-amazon.com/images/I/61yBsKsU-8L._AC_UY218_.jpg,84,60%,16%,6%,4%,14%,200
OIVO INDIA Black Dragon Design Controller Silicone Cover Case Xbox Controller Skin Anti Slip Protective Case Sleeve Compatible for Xbox X/S Controller Remote,0,,,349.0,499.0,https://m.media-amazon.com/images/I/716CPd0oMDL._AC_UY218_.jpg,85,null,null,null,null,null,0
